codes RNSR	Adresse	Provenance
201220354B	Aix Marseille Univ, CNRS, ICR UMR 7273, F-20 Marseille, France	CNRS
201220354B	Aix Marseille Univ, CNRS, ICR, UMR 7273,Lab Pharmacochim Radicalaire, F-13385 Marseille, France	CNRS
201220354B	Aix Marseille Univ, Inst Chim Radicalaire, CNRS, UMR 7273, Marseille, France	CNRS
201220354B	Aix Marseille Univ, CNRS, Inst Chim Radicalaire ICR UMR 7273, F-13397 Marseille, France	CNRS
201220354B	Aix Marseille Univ, CNRS, ICR UMR 7273, Equipe Pharmacochim Radicalaire,Fac Pharm, F-13385 Marseille 05, France	CNRS
201220354B	Aix Marseille Univ, Fac Pharm, UMR CNRS 7273, Equipe Pharmacochim Radicalaire LPCR,ICR, F-13385 Marseille 05, France	CNRS
201220354B	Aix Marseille Univ, CNRS, ICR, UMR 7273, F-13397 Marseille 20, France	CNRS
201220354B	CNRS, UMR 7273, Inst Chim Radicalaire, F-13397 Marseille 20, France	CNRS
201220354B	Aix Marseille Univ, CNRS, UMR 7273, ICR,Lab Pharmacochim Radicalaire,Fac Pharm, F-13385 Marseille 05, France	CNRS
201220396X	CNRS, UMR 6291, Nantes, France	CNRS
201220398Z	Univ Poitiers, CNRS, IC2MP, Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS, UMR 7285, Electrocatalysis Grp,IC2MP, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS, IC2MP, UMR 7285, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS UMR 7285, IC2MP, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, IC2MP, UMR CNRS 7285, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, UMR CNRS IC2MP 7285, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS, UMR 7285, Hydrasa IC2MP, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS, UMR 7285, IC2MP, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, UMR CNRS 7285, IC2MP, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS, UMR IC2MP 7285, Equipe HydrASA, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, Equipe SAMCat, UMR CNRS IC2MP 7285, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, IC2MP UMR CNRS 7285, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, Superacid Grp, Organ Synth Team, CNRS UMR 7285 IC2MP, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, HydrASA, CNRS, UMR IC2MP 7285, Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS UMR IC2MP 7285, ENSIP, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, HydrASA ERM, IC2MP, CNRS UMR 7285, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, HydrASA, IC2MP, CNRS UMR 7285, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS IC2MP 7285, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, UMR CNRS 7285, SAMCat Grp, IC2MP, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, IC2MP, Dept Chim, Equipe SAMCat,UMR 7285 CNRS,TSA 51106, F-86073 Poitiers 09, France	CNRS
201220398Z	IC2MP, UMR CNRS 7285, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, IC2MP, CNRS, UMR 7285, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS INSU, UMR 7285, Inst IC2MP, Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS, HydrASA IC2MP, UMR 7285, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, IC2MP, CNRS, ENSIP, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS UMR IC2MP 7285, HydrASA, F-86022 Poitiers, France	CNRS
201220398Z	Univ Hosp Poitiers, CNRS, UMR 7285, Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS, IC2MP, HydrASA, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, HydrASA IC2MP, ENSI Poitiers, CNRS,UMR 7285, Poitiers, France	CNRS
201220398Z	CNRS IC2MP UMR 7285 Hydrasa, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, Superacid Grp Organ Synth Team, CNRS, IC2MP,UMR 7285, F-86073 Poitiers 09, France	CNRS
201220398Z	Univ Poitiers, IC2MP, UMR CNRS 7285, Poitiers, France	CNRS
201220398Z	Univ Poitiers, IC2MP, CNRS, UMR 7285,Equipe Eau Geochim Sante, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, IC2MP UMR CNRS 7285, Equipe SAMCat, Dept Chim,TSA 51106, F-86073 Poitiers 09, France	CNRS
201220398Z	Univ Poitiers, IC2MP UMR CNRS 7285, PREMICAT, Dept Chim,TSA 51106, F-86073 Poitiers 09, France	CNRS
201220398Z	Univ Poitiers, UMR CNRS7285, Equipe Synth Organ, Grp Glycochim,IC2MP, F-86073 Poitiers 9, France	CNRS
201220398Z	Univ Poitiers, Glycochem Grp, Organ Synth Team, UMR 7285,IC2MP,CNRS, F-86073 Poitiers 9, France	CNRS
201220398Z	Univ Poitiers, IC2MP CNRS UMR 7285, TSA 51106, F-86073 Poitiers 9, France	CNRS
201220398Z	Univ Poitiers, CNRS, IC2MP, Equipe HydrASA,UMR 7285, F-86022 Poitiers, France	CNRS
201220398Z	Univ Poitiers, UMR CNRS 7285, IC2MP, F-86073 Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS, IC2MP HydrASA, UMR 7285, Poitiers, France	CNRS
201220398Z	Univ Poitiers, CNRS, IC2MP, F-51106 Poitiers, Tsa, France	CNRS
201220398Z	CNRS, IC2MP, UMR 7285, F-86022 Poitiers, France	CNRS
201220399A	Univ Poitiers, EBI UMR CNRS 7267, Equipe Physiol Mol Transport Sucres, F-86022 Poitiers, France	CNRS
201220399A	Univ Poitiers, EBI UMR CNRS 7267, Lab Physiol Mol Transport Sucres, F-86022 Poitiers, France	CNRS
201220399A	Univ Poitiers, EBI UMR CNRS 7267, Lab Microbiol Eau, F-86022 Poitiers, France	CNRS
201220399A	Univ Poitiers, CNRS, UMR 7267, Equipe Ecol Evolut Symbiose, Poitiers, France	CNRS
201220399A	Univ Poitiers, UMR 7267, CNRS, Equipe PHYMOTS, F-86022 Poitiers, France	CNRS
201220399A	Univ Poitiers, CNRS, UMR EBI 7267, F-86073 Poitiers 9, France	CNRS
201220399A	Univ Poitiers, EBI, Equipe Microbiol Eau, UMR CNRS 7267, F-86073 Poitiers, France	CNRS
201220400B	Univ Bourgogne, CNRS UMR 6282, Dijon, France	CNRS
201220400B	Univ Bourgogne, CNRS, UMR 6282, Ctr Rech Climatol, F-21000 Dijon, France	CNRS
201220400B	Univ Bourgogne, Equipe Ecol Evolut, CNRS, Lab Biogeosci,UMR 6282, F-21000 Dijon, France	CNRS
201220400B	Univ Bourgogne, UMR 6282, CNRS, F-21000 Dijon, France	CNRS
201220400B	Univ Bourgogne, Ctr Rech Climatol, Biogeosci CNRS, UMR 6282, Dijon, France	CNRS
201220400B	Univ Bourgogne, CNRS UMR 6282, F-21000 Dijon, France	CNRS
201220400B	Univ Bourgogne, CNRS, UMR 6282, Lab Biogeosci, F-21000 Dijon, France	CNRS
201220400B	Univ Bourgogne, CNRS UMR 6282, Lab Biogeosci, F-21000 Dijon, France	CNRS
201220400B	Univ Bourgogne, CNRS, UMR 6282, F-21000 Dijon, France	CNRS
201220400B	Univ Bourgogne, CNRS, UMR 6282, Dijon, France	CNRS
201220400B	Biogeosciences, UMR 6282, CRC, CNRS, Dijon, France	CNRS
201220400B	Univ Bourgogne, CNRS, UMR 6282, CRC,Biogeosciences, Dijon, France	CNRS
201220400B	Univ Bourgogne, CNRS, Lab Geosci, UMR 6282, F-21000 Dijon, France	CNRS
201220407J	Univ La Rochelle, LIENSs, UMR CNRS 7266, F-17000 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, UMR CNRS LIENSs 7266, F-17000 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, LIENSs, CNRS, F-17000 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, LIENSs, CNRS, La Rochelle, France	CNRS
201220407J	Univ La Rochelle, CNRS, UMR 7266, F-17000 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, CNRS, LIENSs, UMR7266, La Rochelle, France	CNRS
201220407J	Univ La Rochelle, LIENSs, CNRS, UMR 7266, La Rochelle, France	CNRS
201220407J	Univ La Rochelle, CNRS, UMR 7266, LIENSs, F-17000 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, CNRS, LIENSs, UMR 7266, F-17042 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, CNRS, UMR 7266, Littoral Environm Soc LIENSs, F-17000 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, CNRS, UMR 7266, LIENSs, F-17042 La Rochelle, France	CNRS
201220407J	LIENSs Univ La Rochelle CNRS, F-17000 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, CNRS, Littoral Environm Soc LIENSs, UMR 7266, La Rochelle, France	CNRS
201220407J	Univ La Rochelle, LIENSs UMR CNRS 7266, La Rochelle, France	CNRS
201220407J	Univ La Rochelle, UMR CNRS Lab LIENSs 7266, F-17000 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, Lab LIENSs, UMR CNRS 7266, F-17000 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, CNRS, LIENSs, UMR 7266, F-17000 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, CNRS, UMR 7266, La Rochelle, France	CNRS
201220407J	Univ La Rochelle, Equipe Approches Mol, LIENSs, CNRS,ULR,UMR 7266, F-17042 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, CNRS, LIENSs, F-17000 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, LIENSs UMR CNRS 7266, F-17000 La Rochelle, France	CNRS
201220407J	Univ La Rochelle, CNRS, UMR LIENSs 7266, F-17000 La Rochelle, France	CNRS
201220407J	CNRS Univ Rochelle, UMR 7266, LIENSs, La Rochelle, France	CNRS
201220409L	CNRS, Unite Mixte Rech UMR ISA 7254, F-06903 Sophia Antipolis, France	CNRS
201220409L	INRA CNRS UNS, UMR 7254, Inst Sophia Agrobiotech, Sophia Antipolis, France	CNRS
201220409L	Univ Nice Sophia Antipolis, CNRS, INRA, UMR Inst Sophia Agrobiotech ISA, Sophia Antipolis, France	CNRS
201220409L	Sophia Agrobiotech Inst, INRA CNRS UNS, UMR 7254, F-06903 Sophia Antipolis, France	CNRS
201220409L	Univ Nice Sophia Antipolis, CNRS, ISA UMR1355, Sophia Antipolis, France	CNRS
201220409L	INRA, Inst Sophia Agrobiotech, UMR 1355, Sophia Antipolis, France	CNRS
201220409L	CNRS, UMR 7254, ISA, Sophia Antipolis, France	CNRS
201220409L	INRA, Inst Sophia Agrobiotech, UMR 1355, F-06903 Sophia Antipolis, France	CNRS
201220409L	CNRS, UMR 7254, F-06903 Sophia Antipolis, France	CNRS
201220409L	Univ Nice Sophia Antipolis, CNRS, INRA, ISA UMR 7254, F-06903 Sophia Antipolis, France	CNRS
201220413R	La Rochelle Univ, CNRS, LaSIE, UMR 7356, La Rochelle, France	CNRS
201220413R	Univ La Rochelle, LaSIE, UMR 7356CNRS, F-17042 La Rochelle, France	CNRS
201220416U	Fac Sci Poitiers, Met Phys Lab, CNRS, IPHEP,UMR 7262, F-86022 Poitiers, France	CNRS
201220416U	Univ Poitiers, IPHEP, CNRS, UMR 7262, F-86073 Poitiers, France	CNRS
201220417V	CNRS, UMR7284, IRCAN, F-06034 Nice, France	CNRS
201220417V	Univ Nice Sophia Antipolis, CNRS UMR 7284, Sch Med, IRCAN,INSERM U1081,UNS, F-06189 Nice, France	CNRS
201220417V	Univ Nice Sophia Antipolis, INSERM, CNRS, IRCAN,UMR 7284,U1081, Nice, France	CNRS
201220417V	Univ Nice Sophia Antipolis, IRCAN, CNRS, CNRS,UMR7284,INSERM,U1081,Fac Med, F-06107 Nice, France	CNRS
201220417V	Univ Nice Sophia Antipolis, IRCAN, CNRS UMR 7284, INSERM U108, F-06107 Nice, France	CNRS
201220417V	Univ Nice Sophia Antipolis, Sch Med, UNS, IRCAN,UMR CNRS 7284,INSERM U1081, Nice, France	CNRS
201220417V	UNS, IRCAN, UMR CNRS 7284, INSERM U1081, Nice, France	CNRS
201220417V	Univ Nice Sophia Antipolis, Sch Med, INSERM, IRCAN,UMR 7284,U1081,CNRS,UNS, Nice, France	CNRS
201220417V	Univ Nice Sophia Antipolis, Sch Med, UMR CNRS INSERM UNS 7284 U1081, IRCAN, Nice, France	CNRS
201220430J	Univ Nice Sophia Antipolis, Lab JA Dieudonne, CNRS, UMR 7351, F-06189 Nice, France	CNRS
201220430J	Univ Nice Sophia Antipolis, CNRS, Lab JA Dieudonne, UMR 7351, F-06189 Nice, France	CNRS
201220430J	Univ Nice Sophia Antipolis, Lab JA Dieudonne, UMR 7351, CNRS, F-06100 Nice, France	CNRS
201220430J	Univ Nice Sophia Antipolis, CNRS, Lab JA Dieudonne, UMR 7351, F-06100 Nice, France	CNRS
201220430J	Univ Nice Sophia Antipolis, CNRS, LJAD, UMR 7351, F-06100 Nice, France	CNRS
201220430J	Univ Nice Sophia Antipolis, CNRS, LJAD, UMR 7351, F-06108 Nice, France	CNRS
201220430J	Univ Nice Sophia Antipolis, Lab JA Dieudonne, CNRS UMR 7351, F-060108 Nice 2, France	CNRS
201220430J	Univ Nice Spohia Antipolis, CNRS, UMR 7351, Lab JA Dieudonne, F-06108 Nice, France	CNRS
201220430J	Univ Nice Sophia Antipolis, Team Coffee INRIA Sophia Antipolis Mediterranee, LJAD, UMR 7351,CNRS, F-06100 Nice, France	CNRS
201220430J	Univ Nice, CNRS, Labo JA Dieudonne, UMR 7351, F-06108 Nice 02, France	CNRS
201220430J	Univ Nice Sophia Antipolis, CNRS, Lab Jean Alexandre Dieudonne, UMR 7351, F-06100 Nice, France	CNRS
201220430J	Univ Nice Sophia Antipolis, CNRS, UMR 7351, Lab Math JA Dieudonne, F-06108 Nice 02, France	CNRS
201220431K	Univ Nice Sophia Antipolis, CNRS, Lab Lagrange UMR7293, F-06304 Nice, France	CNRS
201220432L	Univ Nice Sophia Antipolis, CNRS, I3S, Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis, CNRS, INRIA, COATI,I3S, Nice, France	CNRS
201220432L	CNRS, I3S, UMR 7271, Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis, CNRS, Lab I3S, UMR 7271, F-06189 Nice, France	CNRS
201220432L	UMR CNRS 7271, Lab I3S, F-06903 Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis, CNRS, I3S, UMR7271, Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis, CNRS, I3S Lab, F-06903 Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis, CNRS, I3S, UMR 7271, F-06900 Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis, CNRS, I3S, F-06900 Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis UNS, CNRS, Lab I3S, F-06103 Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis, CNRS, Lab I3S, F-06903 Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis UNS, Lab I3S, CNRS, F-06903 Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis, CNRS, Lab I3S, F-06900 Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis, CNRS, I3S, UMR 7271, Sophia Antipolis, France	CNRS
201220432L	CNRS, INRIA, UNSA, Morpheme Res Grp I3S,IBDC, F-06903 Sophia Antipolis, France	CNRS
201220432L	Team Bioinfo, I3S Lab, UMR CNRS 6070, F-06903 Sophia Antipolis, France	CNRS
201220432L	CNRS, I3S, UMR 7271, CS 40121, F-06903 Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis, CNRS, UMR 7271, I3S, F-06900 Sophia Antipolis, France	CNRS
201220432L	Univ Nice Sophia Antipolis, CNRS, UMR7271, Lab I3S, F-06189 Nice, France	CNRS
201220432L	CNRS, UMR 7271, I3S, F-06900 Sophia Antipolis, France	CNRS
201220433M	Univ Nice Sophia Antipolis, CREMANT LEAT CNRS, F-06560 Valbonne, France	CNRS
201220433M	Univ Nice Sophia Antipolis, LEAT, CREMANT, CNRS, F-06560 Valbonne, France	CNRS
201220433M	Univ Nice Sophia Antipolis, CREMANT LEAT CNRS, F-06152 Valbonne, France	CNRS
201220433M	Univ Nice Sophia Antipolis, LEAT CNRS, UMR 7248, F-06903 Sophia Antipolis, France	CNRS
201220433M	Univ Nice Sophia Antipolis, LEAT CNRS CREMANT, F-06103 Valbonne, France	CNRS
201220433M	Univ Nice Sophia Antipolis, CNRS, LEAT, F-06903 Sophia Antipolis, France	CNRS
201220433M	Univ Nice Sophia Antipolis, LEAT, CNRS, F-06903 Sophia Antipolis, France	CNRS
201220433M	Univ Nice Sophia Antipolis, CNRS UMR7248, LEAT, Nice, France	CNRS
201220436R	Univ Rennes 1, CNRS, UMR 6290, F-35043 Rennes, France	CNRS
201220436R	Univ Rennes 1, CNRS, UMR 6290, IGDR,BIOSIT, F-35042 Rennes, France	CNRS
201220436R	Univ Rennes 1, CNRS, UMR 6290, Equipe Kyca, Rennes, France	CNRS
201220436R	CNRS, UMR 6290, IFR 140, Rennes, France	CNRS
201220436R	Univ Rennes 1, CNRS, UMR 6092, KyCa Team,IGDR,Fac Med, Rennes, France	CNRS
201220436R	Univ Rennes 1, CNRS, UMR 6290, Equipe GEO,IGDR, Rennes, France	CNRS
201220436R	Equipe SIM, CNRS, UMR 6290, F-35043 Rennes, France	CNRS
201220436R	Univ Rennes 1, CNRS, UMR 6290, IGDR, F-35014 Rennes, France	CNRS
201220436R	Univ Rennes 1, CNRS, Biosit, UMR 6290, F-35043 Rennes, France	CNRS
201220436R	Univ Rennes 1, UMR 6290, CNRS, IGRD, F-35042 Rennes, France	CNRS
201220436R	Univ Rennes 1, Hop Sud, Hop Univ Rennes, Dept Med Interne,IGDR UMR 6290, Rennes, France	CNRS
201220436R	Univ Rennes 1, CNRS, IGDR UMR 6290, Rennes, France	CNRS
201220436R	Univ Rennes 1, Equipe Sp Rte, IGDR, CNRS UMR 6290, F-35043 Rennes, France	CNRS
201220436R	CNRS, UMR 6290, Rennes, France	CNRS
201220438T	Univ Bourgogne, UMR CNRS 6298, Lab ArTeHis, Dijon, France	CNRS
201220438T	Univ Bourgogne, CNRS Culture, ArTeHiS, UMR 6298, F-21000 Dijon, France	CNRS
201220438T	Univ Bourgogne, ARTeHIS, UMR CNRS 6298, F-21000 Dijon, France	CNRS
201220438T	Univ Burgundy, UMR CNRS ARTeHIS 6298, F-21000 Dijon, France	CNRS
201220438T	Univ Bourgogne, CNRS, UMR 6298, ARTeHIS, F-21000 Dijon, France	CNRS
201220438T	Univ Bourgogne, ARTeHIS, UMR 6298, CNRS, F-21000 Dijon, France	CNRS
201220439U	Univ Bourgogne, Fac Sci Mirande, ICMUB, UMR CNRS 6302, F-21000 Dijon, France	CNRS
201220439U	Univ Bourgogne, Inst Chim Mol, CNRS, UMR 6302, F-21078 Dijon, France	CNRS
201220439U	Univ Bourgogne, Inst Mol Chem ICMUB UMR CNRS 6302, F-21078 Dijon, France	CNRS
201220439U	Univ Bourgogne, UMR CNRS 6302, ICMUB, F-21078 Dijon, France	CNRS
201220439U	Univ Bourgogne, ICMUB, UMR CNRS 6302, F-21078 Dijon, France	CNRS
201220439U	Univ Bourgogne, Inst Chim Mol, CNRS, UMR 6302, F-21000 Dijon, France	CNRS
201220440V	Univ Bourgogne, CNRS, UMR 6303, Lab Interdisciplinaire Carnot Bourgogne ICB, F-21078 Dijon, France	CNRS
201220440V	Univ Bourgogne, CNRS, UMR 6303, Lab Interdisciplinaire Carnot Bourgogne, F-21078 Dijon, France	CNRS
201220440V	Univ Bourgogne, ICB Lab Interdisciplinaire Carnot de Bourgogne, UMR CNRS 6303, F-21078 Dijon, France	CNRS
201220440V	Univ Burgundy, CNRS, Lab Interdisciplinaire Carnot Bourgogne ICB, Dijon, France	CNRS
201220440V	Univ Bourgogne, CNRS, Lab Interdisciplinaire Carnot de Bourgogne ICB, UMR 6303, F-21078 Dijon, France	CNRS
201220440V	Univ Bourgogne, UMR CNRS 6303, Lab Interdisciplinaire Carnot Bourgogne ICB, F-21078 Dijon, France	CNRS
201220440V	Univ Bourgogne, Lab Interdisciplinaire Carnot Bourgogne, CNRS, UMR 6303, F-21078 Dijon, France	CNRS
201220440V	Univ Bourgogne, CNRS, UMR 6303, Lab Interdisciplinaire Carnot de Bourgogne, F-21078 Dijon, France	CNRS
201220440V	Univ Bourgogne, Lab Interdisciplinaire Carnot de Bourgogne, CNRS, UMR 6303, F-21078 Dijon, France	CNRS
201220440V	Univ Bourgogne, CNRS, Lab Interdisciplinaire Carnot Bourgogne, ICB UMR 6303, F-21078 Dijon, France	CNRS
201220440V	Univ Bourgogne, ICB UMR CNRS 6303, Dijon, France	CNRS
201220440V	Univ Bourgogne, CNRS, UMR 6303, ICB, F-21078 Dijon, France	CNRS
201220440V	Univ Bourgogne, CNRS, Lab Interdisciplinaire Carnot Bourgogne, UMR 6303, F-21078 Dijon, France	CNRS
201220440V	UMR 6303 CNRS Univ Bourgogne, Lab Interdisciplinaire Carnot Bourgogne, F-21078 Dijon, France	CNRS
201220440V	Univ Bourgogne, ICB, CNRS, UMR 6303, F-21078 Dijon, France	CNRS
201220537A	MCC, USR CNRS 3461, IPANEMA, Gif Sur Yvette, France	CNRS
201220716V	Univ Rennes 1, OSUR, CNRS, F-35042 Rennes, France	CNRS
201221812L	Univ La Rochelle, CNRS, Observ PELAGIS, UMS 3462, F-17000 La Rochelle, France	CNRS
201221812L	Univ La Rochelle, CNRS, UMS 3462, Observ PELAGIS, F-17000 La Rochelle, France	CNRS
201221812L	Univ La Rochelle, CNRS, Observ PELAGIS, UMS 3462, FR-17000 La Rochelle, France	CNRS
201221812L	Univ La Rochelle, CNRS, Observ PELAGIS, La Rochelle, France	CNRS
201221812L	Univ La Rochelle, CNRS, Observ Pelagis, Ctr Rech Mammiferes Marins,UMS 3462, F-17000 La Rochelle, France	CNRS
201221812L	Univ La Rochelle, CNRS, UMR 3462, Observ PELAGIS, F-17000 La Rochelle, France	CNRS
201221812L	Univ La Rochelle, CNRS, UMS 3462, Observ PELAGIS Syst Observat Conservat Mammiferes, F-17000 La Rochelle, France	CNRS
201221812L	Univ La Rochelle, Observ PELAGIS, CNRS, Pole Analyt,UMS 3462, F-17000 La Rochelle, France	CNRS
201221812L	CNRS Univ La Rochelle, UMS 3462, Observ PELAGIS Syst Observat Conservat Mammiferes, F-17071 La Rochelle, France	CNRS
201221812L	Univ La Rochelle, CNRS, Observ PELAGIS, UMS 3462, La Rochelle, France	CNRS
201221812L	Univ La Rochelle, CNRS, UMS 3462, Observ PELAGIS, La Rochelle, France	CNRS
201221812L	Univ La Rochelle, UMS 3462, CNRS, Observ PELAGIS, F-17000 La Rochelle, France	CNRS
201320497C	Univ Strasbourg, ICube, CNRS, F-67412 Illkirch Graffenstaden, France	CNRS
201320497C	Univ Strasbourg UdS, ICube, UMR CNRS 7357, F-67411 Illkirch Graffenstaden, France	CNRS
201320497C	Univ Strasbourg, ICUBE, CNRS, UMR 7357, F-67412 Illkirch Graffenstaden, France	CNRS
201320497C	CNRS, UMR 7357, ICube Lab, F-67412 Illkirch Graffenstaden, France	CNRS
201320497C	Univ Strasbourg, CNRS, ICube, UMR 7357, F-67400 Illkirch Graffenstaden, France	CNRS
201320497C	Univ Strasbourg, CNRS, ICube Lab, UMR 7357, F-67412 Illkirch Graffenstaden, France	CNRS
201320497C	Univ Strasbourg, CNRS, ENGEES, Lab ICube, F-67412 Illkirch Graffenstaden, France	CNRS
201320497C	Univ Strasbourg, ENGEES, ICube, CNRS, Illkirch Graffenstaden, France	CNRS
201320497C	Univ Strasbourg, ICube, CNRS, Illkirch Graffenstaden, France	CNRS
201320509R	Univ Strasbourg, CNRS, LIVE, UMR 7362, Strasbourg, France	CNRS
201320509R	CNRS Univ Strasbourg, UMR 7362, Lab Image, F-67083 Strasbourg, France	CNRS
201320509R	Univ Strasbourg ENGEES, CNRS, Lab LIVE, F-67000 Strasbourg, France	CNRS
201320509R	Univ Strasbourg, LIVE, ENGEES, CNRS, Strasbourg, France	CNRS
201320555R	INRA, Inst Jean Pierre Bourgin, UMR 1318, CNRS,ERL 3559,RD10, F-78026 Versailles, France	CNRS
201320555R	AgroParisTech, Inst Jean Pierre Bourgin, UMR 1318, CNRS,ERL 3559,RD10, Versailles, France	CNRS
201320566C	CNRS, CNRM GAME, UMR3589, Toulouse, France	CNRS
201320566C	CNRM GAME, Meteo France CNRS, F-31057 Toulouse 1, France	CNRS
201320566C	Meteo France, CNRS, CNRM GAME, UMR 3589,GMGEC, Toulouse, France	CNRS
201320566C	Meteo France CNRS, UMR 3589, F-31057 Toulouse, France	CNRS
201320566C	Meteo France CNRS, CNRM GAME UMR3589, Toulouse, France	CNRS
201320566C	CNRS, CNRM GAME, Toulouse, France	CNRS
201320566C	Meteo France CNRS URA 1357, CNRM GAME, Toulouse, France	CNRS
201320566C	CNRS, UMR 3589, Meteo France, CNRM GAME, Toulouse, France	CNRS
201320566C	CNRS, CNRM GAME, Meteo France, URA 1357, F-31057 Toulouse 1, France	CNRS
201320566C	CNRS, UMR3589, Meteo France, CNRM GAME, Toulouse, France	CNRS
201320566C	Meteo France, UMR 3589, CNRM, GAME, Toulouse, France	CNRS
201320566C	Meteofrance CNRS, CNRM GAME, Toulouse, France	CNRS
201320566C	CNRS CNRM GAME, Toulouse, France	CNRS
201320570G	Univ Lyon 1, CNRS, UMR 5306, Inst Lumiere Mat, F-69622 Villeurbanne, France	CNRS
201320570G	Univ Lyon 1, CNRS, Inst Lumiere Mat, UMR 5306, F-69622 Villeurbanne, France	CNRS
201320570G	Univ Lyon 1, ILM, CNRS, UMR5306, F-69621 Villeurbanne, France	CNRS
201320570G	Univ Lyon 1, CNRS, UMR 5306, Inst Lumiere Matiere, F-69622 Villeurbanne, France	CNRS
201320570G	Univ Lyon 1, Inst Lumiere Mat, CNRS UMR 5306, F-69622 Villeurbanne, France	CNRS
201320570G	Univ Lyon 1, CNRS, ILM, UMR 5306, F-69622 Villeurbanne, France	CNRS
201320570G	Univ Lyon 1, CNRS, Inst Lumiere Matiere, UMR 5306, F-69622 Villeurbanne, France	CNRS
201320570G	Univ Lyon, CNRS, UMR 5306, Inst Lumiere Mat, F-69622 Villeurbanne, France	CNRS
201320570G	Univ Lyon 1, CNRS, UMR 5306, ILM, F-69622 Villeurbanne, France	CNRS
201320570G	CNRS, UMR 5306, F-69100 Villeurbanne, France	CNRS
201320570G	Univ Lyon 1, ILM, CNRS UMR5306, F-69621 Villeurbanne, France	CNRS
201320570G	Univ Lyon 1, ILM UMR CNRS 5306, Inst Lumiere Mat, F-69622 Villeurbanne, France	CNRS
201320570G	UMR 5306 Univ Lyon 1 CNRS, Inst Lumiere Mat, F-69622 Villeurbanne, France	CNRS
201320570G	Univ Lyon 1, ILM, UMR 5306, F-69622 Villeurbanne, France	CNRS
201320570G	Univ Lyon 1, Inst Lumiere Mat, CNRS, UMR 5306, F-69622 Villeurbanne, France	CNRS
201320570G	Univ Lyon 1, CNRS, ILM FENNEC UMR 5306, F-69622 Villeurbanne, France	CNRS
